timestamp,frame_number,fps,inference_ms,detection_count,average_confidence,brightness
2026-07-24T20:18:37,5873,14.49,23.161,1,0.6588,74.836
2026-07-24T20:18:37,5874,14.805,23.087,1,0.6874,74.723
2026-07-24T20:18:37,5875,15.095,22.778,1,0.6815,74.639
2026-07-24T20:18:37,5876,14.706,22.156,1,0.5896,74.571
2026-07-24T20:18:37,5877,15.229,22.906,1,0.626,74.513
2026-07-24T20:18:37,5878,14.575,24.823,1,0.4058,74.449
2026-07-24T20:18:37,5879,15.597,22.766,1,0.5538,74.395
2026-07-24T20:18:37,5880,13.802,23.786,1,0.4751,74.291
2026-07-24T20:18:37,5881,17.098,23.164,1,0.3839,74.157
2026-07-24T20:18:37,5882,13.178,23.726,1,0.389,74.039
2026-07-24T20:18:37,5883,16.754,21.936,1,0.5605,73.998
2026-07-24T20:18:37,5884,14.335,23.305,2,0.511,73.882
2026-07-24T20:18:37,5885,14.502,23.238,1,0.5207,73.778
2026-07-24T20:18:37,5886,16.59,22.643,1,0.6072,73.671
2026-07-24T20:18:38,5887,13.801,23.534,2,0.4874,73.418
2026-07-24T20:18:38,5888,14.553,23.615,2,0.4359,73.282
2026-07-24T20:18:38,5889,15.918,22.255,1,0.4348,73.248
2026-07-24T20:18:38,5890,14.665,22.396,1,0.3885,73.173
2026-07-24T20:18:38,5891,14.485,23.308,1,0.3682,73.099
2026-07-24T20:18:38,5892,16.523,22.992,2,0.538,73.095
2026-07-24T20:18:38,5893,13.597,23.193,2,0.4515,72.946
2026-07-24T20:18:38,5894,15.527,24.659,0,0.0,72.723
2026-07-24T20:18:38,5895,13.174,24.785,1,0.4785,72.516
2026-07-24T20:18:38,5896,16.496,22.763,0,0.0,72.344
2026-07-24T20:18:38,5897,13.778,23.904,1,0.3559,72.124
2026-07-24T20:18:38,5898,16.23,22.836,0,0.0,71.995
2026-07-24T20:18:38,5899,15.391,22.597,1,0.425,71.91
2026-07-24T20:18:38,5900,14.465,23.555,3,0.4397,72.001
2026-07-24T20:18:38,5901,15.03,22.828,2,0.3908,71.948
2026-07-24T20:18:39,5902,15.725,22.731,1,0.4281,71.879
2026-07-24T20:18:39,5903,13.787,23.32,1,0.4651,71.754
2026-07-24T20:18:39,5904,15.096,23.855,2,0.4397,71.665
2026-07-24T20:18:39,5905,15.597,23.362,2,0.4,71.666
2026-07-24T20:18:39,5906,14.082,24.001,1,0.3773,71.611
2026-07-24T20:18:39,5907,16.004,22.607,2,0.3876,71.509
2026-07-24T20:18:39,5908,14.439,23.09,3,0.4584,71.44
2026-07-24T20:18:39,5909,14.545,24.459,3,0.4424,71.292
2026-07-24T20:18:39,5910,14.98,23.528,2,0.3763,71.218
2026-07-24T20:18:39,5911,15.2,23.818,2,0.3821,71.247
2026-07-24T20:18:39,5912,15.228,23.19,3,0.3981,71.248
2026-07-24T20:18:39,5913,14.476,23.261,2,0.4177,71.258
2026-07-24T20:18:39,5914,15.675,23.989,2,0.4437,71.326
2026-07-24T20:18:39,5915,13.915,23.06,2,0.4817,71.358
2026-07-24T20:18:39,5916,15.443,22.923,2,0.4921,71.317
2026-07-24T20:18:40,5917,16.681,23.512,2,0.5098,71.351
2026-07-24T20:18:40,5918,12.08,24.857,1,0.5406,71.356
2026-07-24T20:18:40,5919,17.442,23.599,2,0.4825,71.361
2026-07-24T20:18:40,5920,14.355,24.15,3,0.4777,71.362
2026-07-24T20:18:40,5921,14.272,24.101,3,0.4554,71.299
2026-07-24T20:18:40,5922,15.939,22.372,2,0.4525,71.28
2026-07-24T20:18:40,5923,15.316,23.237,3,0.4544,71.305
2026-07-24T20:18:40,5924,14.486,23.129,2,0.438,71.396
2026-07-24T20:18:40,5925,16.603,23.232,1,0.5176,71.433
2026-07-24T20:18:40,5926,13.652,23.795,1,0.5451,71.38
2026-07-24T20:18:40,5927,14.937,23.433,1,0.5654,71.391
2026-07-24T20:18:40,5928,14.876,23.664,1,0.5327,71.366
2026-07-24T20:18:40,5929,15.51,22.782,2,0.472,71.255
2026-07-24T20:18:40,5930,14.256,23.841,2,0.4486,71.088
2026-07-24T20:18:41,5931,15.383,23.21,1,0.5999,70.86
2026-07-24T20:18:41,5932,15.021,23.391,1,0.5689,70.545
2026-07-24T20:18:41,5933,14.869,23.338,1,0.5311,70.015
2026-07-24T20:18:41,5934,14.266,24.134,3,0.5038,69.656
2026-07-24T20:18:41,5935,15.488,24.099,2,0.5727,69.423
2026-07-24T20:18:41,5936,14.293,24.071,3,0.5426,69.294
2026-07-24T20:18:41,5937,16.194,22.377,3,0.5368,69.256
2026-07-24T20:18:41,5938,14.453,23.767,3,0.5421,69.418
2026-07-24T20:18:41,5939,13.863,24.561,2,0.5416,69.811
2026-07-24T20:18:41,5940,16.654,23.29,4,0.4758,70.215
